time,festivalId,nazivFestivala,tipKarte,razlog,staraCena,novaCena,deltaCene,procenatPromene
2024-12-03T22:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,15000.0,15508.95,508.95,3.39
2024-12-13T18:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,15508.95,15017.77,-491.18,-3.17
2024-12-31T12:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,15017.77,16473.12,1455.35,9.69
2025-01-08T21:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,16473.12,18812.46,2339.34,14.2
2025-01-23T18:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,18812.46,20026.91,1214.45,6.46
2025-02-05T23:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,20026.91,20696.15,669.24,3.34
2025-02-21T00:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,20696.15,21494.79,798.64,3.86
2025-03-02T00:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,21494.79,22026.64,531.85,2.47
2025-03-15T05:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,22026.64,22451.5,424.86,1.93
2025-03-28T21:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,22451.5,24238.34,1786.84,7.96
2025-04-13T17:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,24238.34,25649.61,1411.27,5.82
2025-04-24T15:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,25649.61,28661.99,3012.38,11.74
2025-05-05T09:17:48Z,F001,EXIT Festival,VIP All Access,PROMO_AKCIJA,28661.99,24664.14,-3997.85,-13.95
2025-05-21T10:17:48Z,F001,EXIT Festival,VIP All Access,POVECANJE_TRAZNJE,24664.14,26191.39,1527.25,6.19
2025-05-31T20:17:48Z,F001,EXIT Festival,VIP All Access,PROMO_AKCIJA,26191.39,24857.36,-1334.03,-5.09
2025-06-12T01:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,24857.36,26629.54,1772.18,7.13
2025-06-27T14:17:48Z,F001,EXIT Festival,VIP All Access,SEZONSKI_FAKTOR,26629.54,29599.36,2969.82,11.15
2025-07-12T02:17:48Z,F001,EXIT Festival,VIP All Access,VREMENSKI_PERIOD,29599.36,30647.23,1047.87,3.54
